# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      72.54
2                      73.05
4                      74.55
8                      86.35
16                     87.56
32                     95.54
64                     89.40
128                    92.03
256                   153.15
512                   172.05
1024                   81.29
2048                   94.11
4096                  100.12
8192                  143.85
16384                 209.14
32768                 340.29
65536                 620.35
131072               1382.42
262144               2932.41
524288               4973.48
1048576              9414.68
