# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      78.55
2                      79.21
4                      81.67
8                      82.75
16                     83.20
32                     86.80
64                     89.84
128                    88.66
256                   153.79
512                   171.09
1024                   91.75
2048                  101.94
4096                  112.60
8192                  142.15
16384                 198.93
32768                 324.79
65536                 577.69
131072               1344.88
262144               2891.95
524288               4945.16
1048576              9127.80
