# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.32
2                       5.37
4                       5.40
8                       5.41
16                      5.53
32                      5.52
64                      5.56
128                     5.58
256                     5.77
512                     8.45
1024                    8.55
2048                    8.74
4096                    9.28
8192                   10.14
16384                  13.06
32768                  18.09
65536                  30.41
131072                 50.23
262144                 81.81
524288                130.19
1048576               248.24
