# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.77
2                      23.94
4                      24.08
8                      25.08
16                     23.90
32                     23.76
64                     23.86
128                    24.02
256                    24.52
512                    24.74
1024                   25.01
2048                   25.38
4096                   26.09
8192                   31.14
16384                  36.16
32768                  46.41
65536                  68.62
131072                113.22
262144                224.75
524288                453.62
1048576               897.11
