# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.82
2                      22.04
4                      22.05
8                      23.23
16                     21.88
32                     21.95
64                     22.01
128                    22.67
256                    22.74
512                    27.27
1024                   23.43
2048                   23.95
4096                   25.22
8192                   34.47
16384                  39.27
32768                  49.10
65536                  68.98
131072                108.79
262144                187.36
524288                345.19
1048576               666.04
