# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1443.15
2                    1293.05
4                    1281.83
8                    1316.02
16                   1354.58
32                   1375.71
64                   1385.46
128                  1396.05
256                  1401.04
512                   105.24
1024                  106.55
2048                  109.24
4096                  130.30
8192                  137.88
16384                 152.28
32768                 191.40
65536                 270.10
131072                434.96
262144                778.43
524288               1494.22
1048576              3019.58
