# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     186.00
2                     192.28
4                     188.97
8                     189.24
16                    187.04
32                    190.89
64                    187.84
128                   188.29
256                   188.69
512                   193.15
1024                  194.98
2048                  199.46
4096                  204.15
8192                  212.58
16384                 238.51
32768                 488.36
65536                 763.58
131072               1483.31
262144               2660.63
524288               4862.61
1048576              9255.11
