# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     319.57
2                     319.67
4                     320.21
8                     321.58
16                    322.10
32                    322.45
64                    324.96
128                   327.85
256                   330.67
512                   341.68
1024                 1786.80
2048                  446.54
4096                 1862.23
8192                 2043.96
16384                2247.30
32768                1914.14
65536                1983.39
131072               2002.56
262144               2244.87
524288               2859.14
1048576              5637.93
