# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     190.07
8                     190.08
16                    175.36
32                    175.27
64                     80.31
128                    81.76
256                    84.90
512                    90.56
1024                   97.00
2048                  108.84
4096                  117.88
8192                  225.24
16384                 246.62
32768                 251.34
65536                 259.46
131072                316.61
262144                337.38
524288                378.89
1048576               469.90
