# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     915.30
2                     908.31
4                     930.26
8                     945.92
16                    923.82
32                    924.05
64                    940.50
128                   944.17
256                  1055.05
512                  1262.65
1024                  964.17
2048                  970.68
4096                  968.71
8192                 1086.00
16384                1141.43
32768                1250.43
65536                1615.33
131072               2177.52
262144               3796.47
524288               7233.69
1048576             15351.06
