# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.11
2                      29.35
4                      29.22
8                      29.13
16                     28.96
32                     29.16
64                     29.43
128                    31.86
256                    31.95
512                    32.85
1024                   33.70
2048                   34.46
4096                   38.59
8192                   44.58
16384                  50.34
32768                  53.62
65536                  60.95
131072                 87.68
262144                124.89
524288                184.11
1048576               506.12
