# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.23
2                      25.29
4                      25.00
8                      25.59
16                     25.71
32                     25.98
64                     26.18
128                    26.59
256                    29.51
512                    34.14
1024                   35.01
2048                   35.75
4096                   35.88
8192                   37.77
16384                  44.39
32768                  48.84
65536                  61.17
131072                 90.31
262144                140.65
524288                246.68
1048576               561.83
