# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      50.46
2                      49.51
4                      51.60
8                      52.30
16                     55.52
32                     59.17
64                     60.70
128                    64.39
256                    71.81
512                    81.49
1024                   96.29
2048                  111.18
4096                  133.34
8192                  177.79
16384                 390.17
32768                 699.69
65536                1666.78
131072               4284.85
262144               8982.75
