# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.63
2                       2.73
4                       2.65
8                       3.27
16                      3.45
32                      3.61
64                      3.80
128                     4.20
256                     7.39
512                     9.24
1024                   10.83
2048                   11.66
4096                   13.33
8192                   13.53
16384                  16.40
32768                  21.96
65536                  33.62
131072                 63.07
262144                123.40
524288                230.85
1048576               467.61
