# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.67
2                      26.79
4                      28.31
8                      29.91
16                     31.01
32                     32.92
64                     35.06
128                    37.03
256                    40.83
512                    46.46
1024                   55.86
2048                   70.82
4096                  101.70
8192                  145.44
16384                 213.35
32768                 365.57
65536                 658.76
131072               1245.58
262144               2425.75
524288               4753.86
1048576              9447.23
