# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.84
2                      24.93
4                      25.85
8                      27.76
16                     30.25
32                     32.98
64                     34.43
128                    38.56
256                    46.38
512                    55.58
1024                   69.01
2048                   83.67
4096                  103.53
8192                  140.16
16384                 413.99
32768                 748.25
65536                1443.25
131072               2838.46
262144               5639.80
524288              11394.97
1048576             22893.06
