# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.34
8                      29.54
16                     29.36
32                     29.35
64                     29.65
128                    30.69
256                    32.27
512                    32.41
1024                   32.81
2048                   34.69
4096                   36.24
8192                   46.76
16384                  54.23
32768                  64.21
65536                  74.92
131072                 87.13
262144                117.44
524288                174.05
1048576               303.60
