# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.49
8                      30.43
16                     30.13
32                     30.33
64                     30.50
128                    30.98
256                    34.66
512                    35.38
1024                   37.02
2048                   39.00
4096                   41.12
8192                   54.28
16384                  55.54
32768                  62.49
65536                  71.58
131072                 89.01
262144                128.51
524288                210.84
1048576               382.70
