# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.66
8                      25.46
16                     26.56
32                     26.17
64                     26.50
128                    26.75
256                    27.10
512                    32.79
1024                   32.74
2048                   36.45
4096                   39.68
8192                   50.63
16384                  53.65
32768                  58.17
65536                  69.73
131072                 88.26
262144                125.04
524288                193.65
1048576               352.40
