# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       7.26
8                       7.10
16                      7.08
32                      7.03
64                      7.09
128                     8.22
256                     9.73
512                     9.90
1024                   10.21
2048                   11.28
4096                   11.90
8192                   20.65
16384                  27.61
32768                  35.94
65536                  41.73
131072                 51.35
262144                 62.51
524288                111.34
1048576               201.47
