# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.59
8                       2.85
16                      3.38
32                      3.50
64                      3.81
128                     4.11
256                     4.33
512                     9.39
1024                   10.92
2048                   12.21
4096                   14.98
8192                   23.42
16384                  28.13
32768                  35.46
65536                  45.78
131072                 65.25
262144                 95.49
524288                168.29
1048576               316.51
