# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.70
8                      31.26
16                     30.16
32                     30.02
64                     47.18
128                    49.11
256                    55.54
512                    58.59
1024                   63.46
2048                   73.81
4096                   72.16
8192                   83.64
16384                 101.67
32768                 121.67
65536                 156.78
131072                217.13
262144                310.22
524288                581.59
1048576              1192.73
