# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.78
2                      31.35
4                      31.36
8                      31.21
16                     31.38
32                     31.49
64                     31.64
128                    31.76
256                    37.09
512                    38.17
1024                   40.01
2048                   41.42
4096                   43.41
8192                   42.91
16384                  49.77
32768                  54.84
65536                  68.64
131072                119.93
262144                173.18
524288                263.87
1048576               526.19
