# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.32
2                      26.08
4                      25.83
8                      26.02
16                     27.05
32                     26.81
64                     26.97
128                    27.23
256                    27.60
512                    35.09
1024                   36.30
2048                   37.45
4096                   38.52
8192                   41.40
16384                  47.09
32768                  56.02
65536                  70.82
131072                329.89
262144                588.63
524288               1104.38
1048576              2101.63
