# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      75.96
2                      75.16
4                      77.86
8                      75.45
16                     76.17
32                     82.30
64                    137.48
128                   139.58
256                   143.83
512                   162.42
1024                  179.53
2048                  231.78
4096                  273.63
8192                  329.49
16384                 445.94
32768                 684.25
65536               11984.23
131072              20818.61
262144               3367.58
524288               5096.91
1048576             11479.46
