# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.00
2                       5.88
4                       5.89
8                       5.87
16                      5.90
32                      5.86
64                      6.05
128                     6.28
256                     7.25
512                     7.27
1024                    7.45
2048                    7.58
4096                    7.82
8192                   10.97
16384                  12.22
32768                  14.01
65536                  19.42
131072                 28.78
262144                 48.30
524288                104.21
1048576               182.19
