# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.04
2                      38.92
4                      38.74
8                      38.70
16                     38.94
32                     38.99
64                     91.75
128                    90.80
256                    93.32
512                    97.18
1024                  103.31
2048                  192.06
4096                  207.18
8192                  231.32
16384                 277.56
32768                 373.16
65536                 611.76
131072               1202.04
262144               2396.84
524288               4940.91
1048576             10011.88
