# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      19.59
2                      14.82
4                      14.73
8                      14.70
16                     14.65
32                     14.71
64                     14.74
128                    14.70
256                    15.02
512                    14.74
1024                   14.85
2048                   15.28
4096                   16.64
8192                   16.84
16384                  17.12
32768                  17.76
65536                  17.98
131072                 19.70
262144                 22.32
524288                 27.47
1048576                43.60
