# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      16.69
8                      15.45
16                     15.45
32                     16.03
64                     16.79
128                    16.76
256                    16.73
512                    16.81
1024                   16.79
2048                   16.89
4096                   17.02
8192                   17.54
16384                  18.26
32768                  18.62
65536                  18.95
131072                 19.42
262144                 19.75
524288                 22.26
1048576                25.63
