# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     398.75
2                     381.95
4                     382.55
8                     382.60
16                    384.00
32                    383.04
64                    378.66
128                   380.28
256                   358.41
512                   355.79
1024                  358.70
2048                  378.40
4096                  370.49
8192                  391.42
16384                 441.59
32768                 551.47
65536                 969.72
131072               1467.98
262144               2858.19
524288               5764.68
1048576             15486.92
