# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      25.73              Pass
2                      26.08              Pass
4                      28.22              Pass
8                      29.40              Pass
16                     30.53              Pass
32                     32.54              Pass
64                     34.30              Pass
128                    33.61              Pass
256                    34.85              Pass
512                    39.26              Pass
1024                   47.28              Pass
2048                   61.61              Pass
4096                   87.55              Pass
8192                  135.26              Pass
16384                 205.03              Pass
32768                 354.97              Pass
65536                 649.74              Pass
131072               1239.27              Pass
262144               2442.00              Pass
524288               4777.13              Pass
1048576              9575.19              Pass
