# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      97.55
2                      96.78
4                      97.83
8                      98.79
16                     99.32
32                    100.42
64                    102.72
128                   106.18
256                   106.56
512                   109.73
1024                  114.63
2048                  122.90
4096                  141.00
8192                  165.38
16384                 220.73
32768                 348.64
65536                 880.78
131072               2272.97
262144               5267.37
524288              11370.89
1048576             81842.32
