# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      98.77
2                      97.47
4                      97.98
8                      99.49
16                    100.46
32                    102.85
64                    103.76
128                   108.07
256                   117.73
512                   123.62
1024                  132.13
2048                  144.69
4096                  162.63
8192                  201.55
16384                 259.91
32768                 521.82
65536                 872.57
131072               1898.71
262144               4241.79
524288               8620.88
1048576             86078.75
