# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)        Validation
4                      29.20              Pass
8                      28.90              Pass
16                     28.97              Pass
32                     40.12              Pass
64                     40.13              Pass
128                    42.13              Pass
256                    49.65              Pass
512                    52.01              Pass
1024                   56.49              Pass
2048                   59.23              Pass
4096                   70.10              Pass
8192                   69.90              Pass
16384                  82.18              Pass
32768                 114.71              Pass
65536                 131.88              Pass
131072                197.51              Pass
262144                349.23              Pass
524288                632.72              Pass
1048576              1214.65              Pass
