# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)        Validation
4                       2.85              Pass
8                       2.85              Pass
16                      3.29              Pass
32                      3.28              Pass
64                      3.42              Pass
128                     3.74              Pass
256                     3.74              Pass
512                     9.52              Pass
1024                    9.47              Pass
2048                   11.47              Pass
4096                   14.26              Pass
8192                   19.21              Pass
16384                  22.29              Pass
32768                  25.79              Pass
65536                  35.38              Pass
131072                 54.72              Pass
262144                 83.26              Pass
524288                143.64              Pass
1048576               274.21              Pass
