# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      56.38
8                      55.50
16                     54.94
32                     54.91
64                     71.74
128                    73.51
256                    80.69
512                    83.91
1024                   89.99
2048                   99.77
4096                  109.41
8192                  113.47
16384                 129.04
32768                 145.48
65536                 170.17
131072                267.34
262144                461.90
524288                847.51
1048576              1617.60
