# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      37.64
8                      36.93
16                     36.79
32                     37.04
64                     36.92
128                    40.19
256                    42.57
512                    43.07
1024                   44.02
2048                   46.26
4096                   53.62
8192                   55.29
16384                  59.63
32768                  70.81
65536                 107.39
131072                158.23
262144                274.74
524288                474.93
1048576               911.96
