# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.84              Pass
2                       2.79              Pass
4                       2.79              Pass
8                       2.80              Pass
16                      3.14              Pass
32                      3.12              Pass
64                      3.37              Pass
128                     3.12              Pass
256                     3.45              Pass
512                     9.61              Pass
1024                    9.74              Pass
2048                    9.74              Pass
4096                    9.89              Pass
8192                    9.92              Pass
16384                  10.51              Pass
32768                  13.86              Pass
65536                  16.13              Pass
131072                 25.65              Pass
262144                 43.10              Pass
524288                135.47              Pass
1048576               201.37              Pass
