# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      15.75              Pass
2                      15.37              Pass
4                      15.30              Pass
8                      15.33              Pass
16                     15.25              Pass
32                     15.33              Pass
64                     15.31              Pass
128                    15.58              Pass
256                    20.38              Pass
512                    20.72              Pass
1024                   22.30              Pass
2048                   24.44              Pass
4096                   25.92              Pass
8192                   18.67              Pass
16384                  20.98              Pass
32768                  30.47              Pass
65536                  39.09              Pass
131072                 65.45              Pass
262144                101.41              Pass
524288                223.90              Pass
1048576               477.05              Pass
