# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.73              Pass
2                       2.75              Pass
4                       2.75              Pass
8                       2.73              Pass
16                      3.05              Pass
32                      3.02              Pass
64                      3.09              Pass
128                     3.10              Pass
256                     3.16              Pass
512                     9.63              Pass
1024                    9.76              Pass
2048                    9.63              Pass
4096                    9.84              Pass
8192                   10.12              Pass
16384                  10.73              Pass
32768                  13.75              Pass
65536                  16.47              Pass
131072                 25.12              Pass
262144                 42.25              Pass
524288                141.90              Pass
1048576               201.21              Pass
