# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     222.75
2                     221.54
4                     325.14
8                     325.51
16                    328.08
32                    327.34
64                    329.02
128                   330.22
256                   331.80
512                   225.84
1024                  230.80
2048                  235.61
4096                  240.99
8192                  244.79
16384                 256.77
32768                 285.72
65536                 345.86
131072                295.42
262144               6961.38
524288               9758.16
1048576             16707.55
