# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1253.23
2                    1257.55
4                    1260.38
8                    1257.40
16                   1258.94
32                   1263.34
64                   1269.53
128                  1273.91
256                  1287.56
512                  1308.25
1024                  935.32
2048                  983.80
4096                 1017.36
8192                 1048.77
16384                1118.66
32768                1276.16
65536                2638.65
131072              16515.70
262144               2657.98
524288               3659.35
1048576              5983.38
