# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      93.23
2                      90.54
4                      90.55
8                      90.25
16                     90.29
32                     90.72
64                     91.58
128                    94.12
256                    95.55
512                   100.93
1024                  111.74
2048                  122.87
4096                  141.99
8192                  247.70
16384                 345.93
32768                 385.24
65536                 397.43
131072                397.50
262144                558.96
524288                782.78
1048576              1449.69
