# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     158.22
2                     157.43
4                     157.72
8                     156.45
16                    156.35
32                    155.81
64                    159.37
128                   165.79
256                   169.67
512                   181.67
1024                  212.58
2048                  238.81
4096                  288.81
8192                  497.63
16384                 719.20
32768                 787.14
65536                 801.58
131072                826.19
262144               1060.31
524288               1551.07
1048576              2892.13
