# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      52.80
8                      52.53
16                     52.23
32                     52.14
64                     56.53
128                    57.65
256                    58.82
512                    60.98
1024                   68.80
2048                   71.62
4096                   84.02
8192                   92.39
16384                 115.60
32768                 168.84
65536                 232.30
131072                190.81
262144                317.41
524288                412.17
1048576               658.48
