# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      53.13
8                      52.39
16                     52.19
32                     52.18
64                     56.17
128                    57.96
256                    58.71
512                    60.79
1024                   68.85
2048                   71.78
4096                   84.11
8192                   92.93
16384                 115.44
32768                 168.90
65536                 232.99
131072                192.95
262144                318.27
524288                411.97
1048576               656.83
