# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     104.47
2                     102.03
4                     101.84
8                     101.67
16                    103.33
32                    104.13
64                    103.00
128                   100.28
256                    96.36
512                    97.54
1024                   99.56
2048                  103.65
4096                  106.34
8192                  113.39
16384                 130.23
32768                 158.26
65536                 245.54
131072                351.49
262144                632.48
524288               1452.13
1048576              2476.85
