# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     103.63
2                     101.39
4                     101.00
8                     102.01
16                    103.45
32                    103.69
64                    103.31
128                   103.63
256                   100.88
512                   101.36
1024                  102.14
2048                  104.09
4096                  106.78
8192                  112.58
16384                 130.06
32768                 158.05
65536                 242.36
131072                365.19
262144                645.61
524288               1351.96
1048576              2525.25
