# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.13    0.00    0.00       0     0.11    0.00    0.00       0
           0             0     uint8    none      -1     0.11    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     uint8    none      -1     0.13    0.00    0.00       0     0.14    0.00    0.00       0
           0             0     uint8    none      -1     0.14    0.00    0.00       0     0.13    0.00    0.00       0
           0             0     uint8    none      -1     0.16    0.00    0.00       0     0.15    0.00    0.00       0
           0             0     uint8    none      -1     0.17    0.00    0.00       0     0.12    0.00    0.00       0
          64            16     uint8    none      -1     7.58    0.01    0.01       0     7.25    0.01    0.01       0
         128            32     uint8    none      -1     7.54    0.02    0.01       0     7.41    0.02    0.01       0
         256            64     uint8    none      -1     7.57    0.03    0.03       0     7.36    0.03    0.03       0
         512           128     uint8    none      -1     7.62    0.07    0.05       0     7.40    0.07    0.05       0
        1024           256     uint8    none      -1     7.64    0.13    0.10       0     7.38    0.14    0.10       0
        2048           512     uint8    none      -1     7.66    0.27    0.20       0     7.48    0.27    0.21       0
        4096          1024     uint8    none      -1     7.77    0.53    0.40       0     7.49    0.55    0.41       0
        8192          2048     uint8    none      -1     8.12    1.01    0.76       0     7.84    1.05    0.78       0
       16384          4096     uint8    none      -1     9.28    1.76    1.32       0     8.79    1.86    1.40       0
       32768          8192     uint8    none      -1     9.42    3.48    2.61       0     8.94    3.67    2.75       0
       65536         16384     uint8    none      -1     9.63    6.81    5.11       0     8.99    7.29    5.47       0
      131072         32768     uint8    none      -1     9.88   13.26    9.94       0     9.43   13.90   10.42       0
      262144         65536     uint8    none      -1    10.03   26.13   19.60       0     9.39   27.93   20.95       0
      524288        131072     uint8    none      -1    11.95   43.88   32.91       0    11.07   47.36   35.52       0
     1048576        262144     uint8    none      -1    14.76   71.07   53.30       0    13.42   78.12   58.59       0
     2097152        524288     uint8    none      -1    20.15  104.05   78.04       0    19.33  108.47   81.35       0
     4194304       1048576     uint8    none      -1    36.56  114.73   86.05       0    35.30  118.84   89.13       0
     8388608       2097152     uint8    none      -1    45.64  183.81  137.86       0    43.86  191.24  143.43       0
    16777216       4194304     uint8    none      -1    66.78  251.23  188.42       0    63.81  262.94  197.20       0
    33554432       8388608     uint8    none      -1   109.23  307.18  230.39       0   107.47  312.22  234.17       0
    67108864      16777216     uint8    none      -1   193.30  347.17  260.37       0   191.78  349.93  262.45       0
   134217728      33554432     uint8    none      -1   356.54  376.45  282.34       0   354.35  378.77  284.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 50.3269 
#
# Collective test concluded: all_gather_perf
#

