# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1     uint8     sum      -1    32.60    0.00    0.00       0    31.74    0.00    0.00       0
           2             2     uint8     sum      -1    31.87    0.00    0.00       0    30.98    0.00    0.00       0
           4             4     uint8     sum      -1    31.06    0.00    0.00       0    31.46    0.00    0.00       0
           8             8     uint8     sum      -1    31.16    0.00    0.00       0    31.24    0.00    0.00       0
          16            16     uint8     sum      -1    31.59    0.00    0.00       0    31.53    0.00    0.00       0
          32            32     uint8     sum      -1    31.26    0.00    0.00       0    30.96    0.00    0.00       0
          64            64     uint8     sum      -1    35.85    0.00    0.00       0    35.67    0.00    0.00       0
         128           128     uint8     sum      -1    36.82    0.00    0.01       0    36.29    0.00    0.01       0
         256           256     uint8     sum      -1    37.08    0.01    0.01       0    36.99    0.01    0.01       0
         512           512     uint8     sum      -1    38.46    0.01    0.03       0    37.81    0.01    0.03       0
        1024          1024     uint8     sum      -1    40.26    0.03    0.05       0    39.28    0.03    0.05       0
        2048          2048     uint8     sum      -1    43.48    0.05    0.09       0    42.28    0.05    0.09       0
        4096          4096     uint8     sum      -1    47.87    0.09    0.17       0    46.30    0.09    0.17       0
        8192          8192     uint8     sum      -1    48.60    0.17    0.33       0    47.09    0.17    0.34       0
       16384         16384     uint8     sum      -1    49.96    0.33    0.64       0    47.95    0.34    0.66       0
       32768         32768     uint8     sum      -1    49.76    0.66    1.28       0    49.38    0.66    1.29       0
       65536         65536     uint8     sum      -1    59.11    1.11    2.15       0    58.76    1.12    2.16       0
      131072        131072     uint8     sum      -1    75.58    1.73    3.36       0    73.69    1.78    3.45       0
      262144        262144     uint8     sum      -1    79.45    3.30    6.39       0    77.96    3.36    6.52    1984
      524288        524288     uint8     sum      -1    89.87    5.83   11.30       0    91.68    5.72   11.08       0
     1048576       1048576     uint8     sum      -1   111.84    9.38   18.16    2048   114.09    9.19   17.81       0
     2097152       2097152     uint8     sum      -1   300.46    6.98   13.52    6888   297.32    7.05   13.67    4096
     4194304       4194304     uint8     sum      -1   455.40    9.21   17.84    8148   449.36    9.33   18.08    2784
     8388608       8388608     uint8     sum      -1   640.87   13.09   25.36       0   645.57   12.99   25.18     732
    16777216      16777216     uint8     sum      -1  2319.88    7.23   14.01       0   459.63   36.50   70.72       0
    33554432      33554432     uint8     sum      -1   940.09   35.69   69.15       0  1631.02   20.57   39.86       0
    67108864      67108864     uint8     sum      -1  27990.1    2.40    4.65       0  18217.1    3.68    7.14       0
   134217728     134217728     uint8     sum      -1   173527    0.77    1.50       0   221777    0.61    1.17       0
# Out of bounds values : 204 FAILED
# Avg bus bandwidth    : 7.31227 
#
# Collective test concluded: all_reduce_perf
#

