# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.41    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.30    0.00    0.00    N/A
           0             0     uint8    none      -1     0.32    0.00    0.00       0     0.31    0.00    0.00    N/A
           0             0     uint8    none      -1     0.33    0.00    0.00       0     0.34    0.00    0.00    N/A
           0             0     uint8    none      -1     0.30    0.00    0.00       0     0.31    0.00    0.00    N/A
           0             0     uint8    none      -1     0.30    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00    N/A
           0             0     uint8    none      -1     0.26    0.00    0.00       0     0.26    0.00    0.00    N/A
           0             0     uint8    none      -1     0.26    0.00    0.00       0     0.25    0.00    0.00    N/A
           0             0     uint8    none      -1     0.25    0.00    0.00       0     0.27    0.00    0.00    N/A
        1024            16     uint8    none      -1   179.50    0.01    0.01       0   173.69    0.01    0.01    N/A
        2048            32     uint8    none      -1   170.66    0.01    0.01       0   165.80    0.01    0.01    N/A
        4096            64     uint8    none      -1   171.23    0.02    0.02       0   169.84    0.02    0.02    N/A
        8192           128     uint8    none      -1   172.17    0.05    0.05       0   171.41    0.05    0.05    N/A
       16384           256     uint8    none      -1   153.54    0.11    0.11       0   153.75    0.11    0.10    N/A
       32768           512     uint8    none      -1   155.44    0.21    0.21       0   151.02    0.22    0.21    N/A
       65536          1024     uint8    none      -1   157.67    0.42    0.41       0   155.57    0.42    0.41    N/A
      131072          2048     uint8    none      -1   173.86    0.75    0.74       0   174.37    0.75    0.74    N/A
      262144          4096     uint8    none      -1   179.08    1.46    1.44       0   178.69    1.47    1.44    N/A
      524288          8192     uint8    none      -1   206.91    2.53    2.49       0   208.57    2.51    2.47    N/A
     1048576         16384     uint8    none      -1   262.39    4.00    3.93       0   263.79    3.98    3.91    N/A
     2097152         32768     uint8    none      -1   382.71    5.48    5.39       0   384.23    5.46    5.37    N/A
     4194304         65536     uint8    none      -1   744.95    5.63    5.54       0   742.40    5.65    5.56    N/A
     8388608        131072     uint8    none      -1  1229.69    6.82    6.72       0  1223.73    6.85    6.75    N/A
    16777216        262144     uint8    none      -1  3371.94    4.98    4.90       0  2525.61    6.64    6.54    N/A
    33554432        524288     uint8    none      -1  5372.34    6.25    6.15       0  5339.00    6.28    6.19    N/A
    67108864       1048576     uint8    none      -1  4578.97   14.66   14.43       0  4793.51   14.00   13.78    N/A
   134217728       2097152     uint8    none      -1  8970.98   14.96   14.73       0  8439.73   15.90   15.65    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.43767 
#
# Collective test concluded: alltoall_perf
#

