using OMPI envars
using OMPI envars

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       3.05              Pass
2                       2.94              Pass
4                       2.98              Pass
8                       2.98              Pass
16                      2.97              Pass
32                      2.87              Pass
64                      2.84              Pass
128                     2.87              Pass
256                     5.06              Pass
512                     5.49              Pass
1024                    5.50              Pass
2048                    5.86              Pass
4096                    6.22              Pass
8192                    2.88              Pass
16384                   3.04              Pass
32768                   3.22              Pass
65536                   3.66              Pass
131072                  4.67              Pass
262144                  6.53              Pass
524288                 13.73              Pass
1048576                45.62              Pass
2097152               103.43              Pass
4194304               235.75              Pass
