0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.67              Pass
2                       5.32              Pass
4                      10.79              Pass
8                      21.32              Pass
16                     43.15              Pass
32                     85.69              Pass
64                    157.12              Pass
128                   313.75              Pass
256                   504.71              Pass
512                   984.13              Pass
1024                 1803.52              Pass
2048                 2978.23              Pass
4096                 4372.85              Pass
8192                13913.14              Pass
16384               21361.62              Pass
32768               30690.18              Pass
65536               44136.98              Pass
131072              56126.94              Pass
262144              46250.25              Pass
524288              32799.65              Pass
1048576             25311.46              Pass
2097152             22581.37              Pass
4194304             21501.25              Pass
