0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.71              Pass
2                       5.40              Pass
4                      10.82              Pass
8                      21.43              Pass
16                     42.90              Pass
32                     86.57              Pass
64                    160.21              Pass
128                   316.51              Pass
256                   547.75              Pass
512                   967.45              Pass
1024                 1828.13              Pass
2048                 2941.32              Pass
4096                 4383.72              Pass
8192                14180.69              Pass
16384               22214.88              Pass
32768               31928.82              Pass
65536               44193.06              Pass
131072              55881.00              Pass
262144              40179.31              Pass
524288              33216.68              Pass
1048576             25322.52              Pass
2097152             22740.97              Pass
4194304             21526.11              Pass
