0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.70              Pass
2                       5.38              Pass
4                      10.78              Pass
8                      21.62              Pass
16                     43.03              Pass
32                     86.45              Pass
64                    159.17              Pass
128                   313.94              Pass
256                   535.52              Pass
512                   981.03              Pass
1024                 1807.62              Pass
2048                 2973.20              Pass
4096                 4325.68              Pass
8192                14068.20              Pass
16384               22322.23              Pass
32768               31714.88              Pass
65536               42960.31              Pass
131072              57677.61              Pass
262144              44670.73              Pass
524288              32616.28              Pass
1048576             25460.08              Pass
2097152             24401.14              Pass
4194304             21291.68              Pass
