0 cxi 2 2 cxi2
0 gpu 4 2
1 cxi 1 2 cxi1
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       3.96              Pass
2                       7.92              Pass
4                      15.83              Pass
8                      32.04              Pass
16                     57.38              Pass
32                    114.77              Pass
64                    172.41              Pass
128                   295.56              Pass
256                   564.33              Pass
512                  1389.64              Pass
1024                 2743.21              Pass
2048                 5273.36              Pass
4096                 9540.68              Pass
8192                16136.92              Pass
16384               24639.90              Pass
32768               31634.42              Pass
65536               45200.37              Pass
131072              57309.46              Pass
262144              44824.80              Pass
524288              33279.63              Pass
1048576             25805.65              Pass
2097152             23408.08              Pass
4194304             22168.56              Pass
