0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       8.55              Pass
2                       8.63              Pass
4                       8.69              Pass
8                       8.62              Pass
16                      8.60              Pass
32                      8.66              Pass
64                      8.67              Pass
128                     8.63              Pass
256                     8.64              Pass
512                     8.83              Pass
1024                    8.86              Pass
2048                    8.84              Pass
4096                   14.93              Pass
8192                   14.97              Pass
16384                  15.15              Pass
32768                  15.37              Pass
65536                  15.69              Pass
131072                 16.22              Pass
262144                 17.89              Pass
524288                 21.76              Pass
1048576                29.42              Pass
2097152                44.91              Pass
4194304                74.67              Pass
