0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       8.68              Pass
2                       8.76              Pass
4                       8.77              Pass
8                       8.70              Pass
16                      8.76              Pass
32                      8.79              Pass
64                      8.75              Pass
128                     8.75              Pass
256                     8.87              Pass
512                     8.86              Pass
1024                    8.93              Pass
2048                    8.99              Pass
4096                   14.80              Pass
8192                   15.06              Pass
16384                  15.20              Pass
32768                  15.49              Pass
65536                  16.11              Pass
131072                 16.56              Pass
262144                 18.11              Pass
524288                 21.67              Pass
1048576                29.41              Pass
2097152                44.79              Pass
4194304                74.83              Pass
