0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       8.42              Pass
2                       8.49              Pass
4                       8.53              Pass
8                       8.52              Pass
16                      8.53              Pass
32                      8.54              Pass
64                      8.59              Pass
128                     8.56              Pass
256                     8.57              Pass
512                     8.74              Pass
1024                    8.79              Pass
2048                    8.86              Pass
4096                   14.54              Pass
8192                   14.79              Pass
16384                  14.98              Pass
32768                  15.18              Pass
65536                  15.56              Pass
131072                 16.25              Pass
262144                 17.96              Pass
524288                 21.70              Pass
1048576                29.26              Pass
2097152                44.53              Pass
4194304                74.28              Pass
