0 cxi 2 1 cxi2
0 gpu 4 1
0 cxi 2 1 cxi2
0 gpu 4 1

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.69              Pass
2                       2.71              Pass
4                       2.70              Pass
8                       2.70              Pass
16                      2.71              Pass
32                      2.72              Pass
64                      2.75              Pass
128                     3.26              Pass
256                     3.33              Pass
512                     3.39              Pass
1024                    3.49              Pass
2048                    3.74              Pass
4096                    3.99              Pass
8192                    4.62              Pass
16384                   5.70              Pass
32768                  11.01              Pass
65536                  12.49              Pass
131072                 15.38              Pass
262144                 21.25              Pass
524288                 32.76              Pass
1048576                55.98              Pass
2097152               102.19              Pass
4194304               194.77              Pass
