0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.74              Pass
2                       0.74              Pass
4                       0.73              Pass
8                       0.75              Pass
16                      0.73              Pass
32                      0.73              Pass
64                      1.00              Pass
128                     1.03              Pass
256                     1.13              Pass
512                     1.15              Pass
1024                    1.18              Pass
2048                    1.38              Pass
4096                    1.74              Pass
8192                    1.09              Pass
16384                   1.30              Pass
32768                   1.61              Pass
65536                   2.31              Pass
131072                  4.77              Pass
262144                  7.46              Pass
524288                 16.33              Pass
1048576                34.84              Pass
2097152                66.40              Pass
4194304               131.90              Pass
