0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.76              Pass
2                       0.75              Pass
4                       0.75              Pass
8                       0.76              Pass
16                      0.75              Pass
32                      0.75              Pass
64                      1.01              Pass
128                     1.04              Pass
256                     1.13              Pass
512                     1.16              Pass
1024                    1.19              Pass
2048                    1.41              Pass
4096                    1.75              Pass
8192                    1.09              Pass
16384                   1.32              Pass
32768                   1.64              Pass
65536                   2.31              Pass
131072                  4.93              Pass
262144                 10.72              Pass
524288                 16.78              Pass
1048576                34.71              Pass
2097152                66.46              Pass
4194304               133.89              Pass
