0 cxi 2 2 cxi2
0 gpu 4 2
1 cxi 1 2 cxi1
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.55              Pass
2                       0.54              Pass
4                       0.55              Pass
8                       0.54              Pass
16                      0.60              Pass
32                      0.60              Pass
64                      0.59              Pass
128                     0.60              Pass
256                     0.63              Pass
512                     0.83              Pass
1024                    0.84              Pass
2048                    0.85              Pass
4096                    0.88              Pass
8192                    0.93              Pass
16384                   1.12              Pass
32768                   1.62              Pass
65536                   2.26              Pass
131072                  3.64              Pass
262144                  7.13              Pass
524288                 16.41              Pass
1048576                29.78              Pass
2097152                58.79              Pass
4194304               127.95              Pass
