0 cxi 2 1 shm+cxi:cxi2
0 gpu 4 1
0 cxi 2 1 shm+cxi:cxi2
0 gpu 4 1

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       3.33              Pass
2                       3.33              Pass
4                       3.33              Pass
8                       3.34              Pass
16                      3.34              Pass
32                      3.35              Pass
64                      3.39              Pass
128                     3.90              Pass
256                     4.11              Pass
512                     4.22              Pass
1024                    4.39              Pass
2048                    4.71              Pass
4096                    5.06              Pass
8192                  188.17              Pass
16384                  23.67              Pass
32768                  28.77              Pass
65536                  30.16              Pass
131072                 32.79              Pass
262144                 38.16              Pass
524288                 48.94              Pass
1048576                70.58              Pass
2097152               113.77              Pass
4194304               200.23              Pass
